Time Series Search Export,Search term,Search filters,,Last update of Consumer prices data,Downloaded at,Source,Source URL,Download URL,About Consumer prices
,,,,2024-11-28,2024-12-04 03:42 CET,BIS,"https://data.bis.org/topics/CPI/BIS,WS_LONG_CPI,1.0/M.JP.771?","https://data.bis.org/topics/CPI/BIS,WS_LONG_CPI,1.0/M.JP.771?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/CPI

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1951-10-31,F:Free,,A:Normal value,24.603175
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1951-11-30,F:Free,,A:Normal value,24.603175
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1951-12-31,F:Free,,A:Normal value,18.939394
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-01-31,F:Free,,A:Normal value,13.669065
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-02-29,F:Free,,A:Normal value,8.275862
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-03-31,F:Free,,A:Normal value,6.081081
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-04-30,F:Free,,A:Normal value,6.040268
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-05-31,F:Free,,A:Normal value,5.405405
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-06-30,F:Free,,A:Normal value,6.802721
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-07-31,F:Free,,A:Normal value,8.163265
